text,text_modified,label,group_label,group_label_id,original_text
Dose-dependent inhibition of platelet << cyclooxygenase-1 >> and monocyte cyclooxygenase-2 by [[ meloxicam ]] in healthy subjects.,Dose-dependent inhibition of platelet [ENTITY_A] and monocyte cyclooxygenase-2 by [ENTITY_B] in healthy subjects.,INHIBITOR,CPR:4,1,Dose-dependent inhibition of platelet cyclooxygenase-1 and monocyte cyclooxygenase-2 by meloxicam in healthy subjects.
Concentration-response curves for the inhibition of monocyte << COX-2 >> and platelet COX-1 were obtained in vitro after the incubation of [[ meloxicam ]] with whole blood samples.,Concentration-response curves for the inhibition of monocyte [ENTITY_A] and platelet COX-1 were obtained in vitro after the incubation of [ENTITY_B] with whole blood samples.,INHIBITOR,CPR:4,1,Concentration-response curves for the inhibition of monocyte COX-2 and platelet COX-1 were obtained in vitro after the incubation of meloxicam with whole blood samples.
"Before dosing and 24 h after the seventh dose of each regimen, heparinized whole blood samples were incubated with lipopolysaccharide (10 microgram/ml) for 24 h at 37 degrees C, and << prostaglandin E2 >> was measured in plasma as an index of monocyte [[ COX-2 ]] activity.","Before dosing and 24 h after the seventh dose of each regimen, heparinized whole blood samples were incubated with lipopolysaccharide (10 microgram/ml) for 24 h at 37 degrees C, and [ENTITY_A] was measured in plasma as an index of monocyte [ENTITY_B] activity.",PRODUCT-OF,CPR:9,4,"Before dosing and 24 h after the seventh dose of each regimen, heparinized whole blood samples were incubated with lipopolysaccharide (10 microgram/ml) for 24 h at 37 degrees C, and prostaglandin E2 was measured in plasma as an index of monocyte COX-2 activity."
The production of << thromboxane B2 >> in whole blood allowed to clot at 37 degrees C for 60 min was assessed as an index of platelet [[ COX-1 ]] activity.,The production of [ENTITY_A] in whole blood allowed to clot at 37 degrees C for 60 min was assessed as an index of platelet [ENTITY_B] activity.,PRODUCT-OF,CPR:9,4,The production of thromboxane B2 in whole blood allowed to clot at 37 degrees C for 60 min was assessed as an index of platelet COX-1 activity.
"In contrast, the administration of 7.5 and 15 mg of << meloxicam >> caused dose-dependent reductions in monocyte [[ COX-2 ]] activity by 51% and 70%, respectively, and in platelet COX-1 activity by 25% and 35%, respectively.","In contrast, the administration of 7.5 and 15 mg of [ENTITY_A] caused dose-dependent reductions in monocyte [ENTITY_B] activity by 51% and 70%, respectively, and in platelet COX-1 activity by 25% and 35%, respectively.",INHIBITOR,CPR:4,1,"In contrast, the administration of 7.5 and 15 mg of meloxicam caused dose-dependent reductions in monocyte COX-2 activity by 51% and 70%, respectively, and in platelet COX-1 activity by 25% and 35%, respectively."
"Although the IC50 value of << meloxicam >> for inhibition of [[ COX-1 ]] was 10-fold higher than the IC50 value of COX-2 in vitro, this biochemical selectivity was inadequate to clearly separate the effects of meloxicam on the two isozymes after oral dosing as a function of the daily dose and interindividual variation in steady-state plasma levels.","Although the IC50 value of [ENTITY_A] for inhibition of [ENTITY_B] was 10-fold higher than the IC50 value of COX-2 in vitro, this biochemical selectivity was inadequate to clearly separate the effects of meloxicam on the two isozymes after oral dosing as a function of the daily dose and interindividual variation in steady-state plasma levels.",INHIBITOR,CPR:4,1,"Although the IC50 value of meloxicam for inhibition of COX-1 was 10-fold higher than the IC50 value of COX-2 in vitro, this biochemical selectivity was inadequate to clearly separate the effects of meloxicam on the two isozymes after oral dosing as a function of the daily dose and interindividual variation in steady-state plasma levels."
"In distinction, the preferential << beta 1-AR >> antagonist, [[ betaxolol ]], and the preferential beta 2-AR antagonist, ICI118,551, did not increase basal levels of DA, NAD, or 5-HT.","In distinction, the preferential [ENTITY_A] antagonist, [ENTITY_B], and the preferential beta 2-AR antagonist, ICI118,551, did not increase basal levels of DA, NAD, or 5-HT.",ANTAGONIST,CPR:6,3,"In distinction, the preferential beta 1-AR antagonist, betaxolol, and the preferential beta 2-AR antagonist, ICI118,551, did not increase basal levels of DA, NAD, or 5-HT."
"The selective << 5-HT1A >> receptor antagonist, [[ WAY100,635 ]], slightly attenuated the (-)-pindolol-induced increase in DA and NAD levels, while the selective 5-HT1B antagonist, SB224,289, was ineffective.","The selective [ENTITY_A] receptor antagonist, [ENTITY_B], slightly attenuated the (-)-pindolol-induced increase in DA and NAD levels, while the selective 5-HT1B antagonist, SB224,289, was ineffective.",ANTAGONIST,CPR:6,3,"The selective 5-HT1A receptor antagonist, WAY100,635, slightly attenuated the (-)-pindolol-induced increase in DA and NAD levels, while the selective 5-HT1B antagonist, SB224,289, was ineffective."
UNLABELLED: << Entacapone >> is a potent and specific peripheral [[ catechol-O-methyltransferase ]] (COMT) inhibitor.,UNLABELLED: [ENTITY_A] is a potent and specific peripheral [ENTITY_B] (COMT) inhibitor.,INHIBITOR,CPR:4,1,UNLABELLED: Entacapone is a potent and specific peripheral catechol-O-methyltransferase (COMT) inhibitor.
<< 5-hydroxytryptamine >> evokes [[ endothelial nitric oxide synthase ]] activation in bovine aortic endothelial cell cultures.,[ENTITY_A] evokes [ENTITY_B] activation in bovine aortic endothelial cell cultures.,ACTIVATOR,CPR:3,0,5-hydroxytryptamine evokes endothelial nitric oxide synthase activation in bovine aortic endothelial cell cultures.
Activation of << endothelial nitric oxide synthase >> (eNOS) results in the production of [[ nitric oxide ]] (NO) that mediates the vasorelaxing properties of endothelial cells.,Activation of [ENTITY_A] (eNOS) results in the production of [ENTITY_B] (NO) that mediates the vasorelaxing properties of endothelial cells.,PRODUCT-OF,CPR:9,4,Activation of endothelial nitric oxide synthase (eNOS) results in the production of nitric oxide (NO) that mediates the vasorelaxing properties of endothelial cells.
"Here, we tested the hypothesis that 5-HT receptors mediate << eNOS >> activation by measuring agonist-stimulated [[ [3H]L-citrulline ]] ([3H]L-Cit) formation in BAEC cultures.","Here, we tested the hypothesis that 5-HT receptors mediate [ENTITY_A] activation by measuring agonist-stimulated [ENTITY_B] ([3H]L-Cit) formation in BAEC cultures.",PRODUCT-OF,CPR:9,4,"Here, we tested the hypothesis that 5-HT receptors mediate eNOS activation by measuring agonist-stimulated [3H]L-citrulline ([3H]L-Cit) formation in BAEC cultures."
"We found that << 5-HT >> stimulated the conversion of [3H]L-arginine ([3H]L-Arg) to [3H]L-Cit, indicating [[ eNOS ]] activation.","We found that [ENTITY_A] stimulated the conversion of [3H]L-arginine ([3H]L-Arg) to [3H]L-Cit, indicating [ENTITY_B] activation.",ACTIVATOR,CPR:3,0,"We found that 5-HT stimulated the conversion of [3H]L-arginine ([3H]L-Arg) to [3H]L-Cit, indicating eNOS activation."
"We found that 5-HT stimulated the conversion of [3H]L-arginine ([3H]L-Arg) to << [3H]L-Cit >>, indicating [[ eNOS ]] activation.","We found that 5-HT stimulated the conversion of [3H]L-arginine ([3H]L-Arg) to [ENTITY_A], indicating [ENTITY_B] activation.",PRODUCT-OF,CPR:9,4,"We found that 5-HT stimulated the conversion of [3H]L-arginine ([3H]L-Arg) to [3H]L-Cit, indicating eNOS activation."
"The high affinity << 5-HT1B >> receptor agonist, [[ 5-nonyloxytryptamine ]] (5-NOT)-stimulated [3H]L-Cit turnover responses were concentration-(0.01 nM to 100 microM) and time-dependent.","The high affinity [ENTITY_A] receptor agonist, [ENTITY_B] (5-NOT)-stimulated [3H]L-Cit turnover responses were concentration-(0.01 nM to 100 microM) and time-dependent.",AGONIST,CPR:5,2,"The high affinity 5-HT1B receptor agonist, 5-nonyloxytryptamine (5-NOT)-stimulated [3H]L-Cit turnover responses were concentration-(0.01 nM to 100 microM) and time-dependent."
"These responses were effectively blocked by the 5-HT1B receptor antagonist, isamoltane, the 5-HT1B/5-HT2 receptor antagonist, methiothepin, and the << eNOS >> selective antagonists (0.01-10 microM): [[ L-Nomega -monomethyl-L-arginine ]] (L-NMMA) and L-N omega-iminoethyl-L-ornithine (L-NIO).","These responses were effectively blocked by the 5-HT1B receptor antagonist, isamoltane, the 5-HT1B/5-HT2 receptor antagonist, methiothepin, and the [ENTITY_A] selective antagonists (0.01-10 microM): [ENTITY_B] (L-NMMA) and L-N omega-iminoethyl-L-ornithine (L-NIO).",ANTAGONIST,CPR:6,3,"These responses were effectively blocked by the 5-HT1B receptor antagonist, isamoltane, the 5-HT1B/5-HT2 receptor antagonist, methiothepin, and the eNOS selective antagonists (0.01-10 microM): L-Nomega -monomethyl-L-arginine (L-NMMA) and L-N omega-iminoethyl-L-ornithine (L-NIO)."
"These findings lend evidence of a 5-HT1B receptor/eNOS pathway, accounting in part for the activation of << eNOS >> by [[ 5-HT ]].","These findings lend evidence of a 5-HT1B receptor/eNOS pathway, accounting in part for the activation of [ENTITY_A] by [ENTITY_B].",ACTIVATOR,CPR:3,0,"These findings lend evidence of a 5-HT1B receptor/eNOS pathway, accounting in part for the activation of eNOS by 5-HT."
<< Caffeine >> inhibits the checkpoint [[ kinase ]] ATM.,[ENTITY_A] inhibits the checkpoint [ENTITY_B] ATM.,INHIBITOR,CPR:4,1,Caffeine inhibits the checkpoint kinase ATM.
We report that the radiation-induced activation of the kinase Cds1 [4] (also known as Chk2 [5]) is inhibited by caffeine in vivo and that << ATM >> kinase activity is directly inhibited by [[ caffeine ]] in vitro.,We report that the radiation-induced activation of the kinase Cds1 [4] (also known as Chk2 [5]) is inhibited by caffeine in vivo and that [ENTITY_A] kinase activity is directly inhibited by [ENTITY_B] in vitro.,INHIBITOR,CPR:4,1,We report that the radiation-induced activation of the kinase Cds1 [4] (also known as Chk2 [5]) is inhibited by caffeine in vivo and that ATM kinase activity is directly inhibited by caffeine in vitro.
Inhibition of << ATM >> provides a molecular explanation of the attenuation of DNA-damage checkpoint responses and for the increased radiosensitivity of [[ caffeine ]]-treated cells [6] [7] [8].,Inhibition of [ENTITY_A] provides a molecular explanation of the attenuation of DNA-damage checkpoint responses and for the increased radiosensitivity of [ENTITY_B]-treated cells [6] [7] [8].,INHIBITOR,CPR:4,1,Inhibition of ATM provides a molecular explanation of the attenuation of DNA-damage checkpoint responses and for the increased radiosensitivity of caffeine-treated cells [6] [7] [8].
"The turnover of << SERT >> was determined from the rate of recovery of binding after administration of [[ RTI-76 ]], an irreversible inhibitor of ligand binding.","The turnover of [ENTITY_A] was determined from the rate of recovery of binding after administration of [ENTITY_B], an irreversible inhibitor of ligand binding.",INHIBITOR,CPR:4,1,"The turnover of SERT was determined from the rate of recovery of binding after administration of RTI-76, an irreversible inhibitor of ligand binding."
"In preliminary studies, in vitro incubation of rat cerebral cortex with << RTI-76 >> produced a wash and temperature resistant inhibition of [[ SERT ]] binding densities (Bmax).","In preliminary studies, in vitro incubation of rat cerebral cortex with [ENTITY_A] produced a wash and temperature resistant inhibition of [ENTITY_B] binding densities (Bmax).",INHIBITOR,CPR:4,1,"In preliminary studies, in vitro incubation of rat cerebral cortex with RTI-76 produced a wash and temperature resistant inhibition of SERT binding densities (Bmax)."
Citalopram protected against the << RTI-76 >>-induced inhibition of [[ SERT ]] binding.,Citalopram protected against the [ENTITY_A]-induced inhibition of [ENTITY_B] binding.,INHIBITOR,CPR:4,1,Citalopram protected against the RTI-76-induced inhibition of SERT binding.
The decrease and recovery of << [3H]-5-HT >> uptake correlated highly (r = 0.93) with the recovery of [[ SERT ]] binding.,The decrease and recovery of [ENTITY_A] uptake correlated highly (r = 0.93) with the recovery of [ENTITY_B] binding.,SUBSTRATE,CPR:9,4,The decrease and recovery of [3H]-5-HT uptake correlated highly (r = 0.93) with the recovery of SERT binding.
"<< Losartan >> was the first, but by no means remained the only, [[ AT1 ]] receptor antagonist.","[ENTITY_A] was the first, but by no means remained the only, [ENTITY_B] receptor antagonist.",ANTAGONIST,CPR:6,3,"Losartan was the first, but by no means remained the only, AT1 receptor antagonist."
"Among the current << AT1 >> receptor antagonists, the rank order of the relative binding affinities (highest affinity = 1) is: candesartan 1, telmisartan 10, E3174 (the active metabolite of [[ losartan ]]) 10, tasosartan 20, losartan 50, eprosartan 100 and the prodrug candesartan cilexetil 280.","Among the current [ENTITY_A] receptor antagonists, the rank order of the relative binding affinities (highest affinity = 1) is: candesartan 1, telmisartan 10, E3174 (the active metabolite of [ENTITY_B]) 10, tasosartan 20, losartan 50, eprosartan 100 and the prodrug candesartan cilexetil 280.",ANTAGONIST,CPR:6,3,"Among the current AT1 receptor antagonists, the rank order of the relative binding affinities (highest affinity = 1) is: candesartan 1, telmisartan 10, E3174 (the active metabolite of losartan) 10, tasosartan 20, losartan 50, eprosartan 100 and the prodrug candesartan cilexetil 280."
"The mode of (functional) << AT1 >> receptor antagonism has been characterized as surmountable/noncompetitive (losartan, tasosartan, eprosartan) or insurmountable/noncompetitive (candesartan, [[ saprisartan ]], zolasartan, irbesartan, valsartan, telmisartan, E3174).","The mode of (functional) [ENTITY_A] receptor antagonism has been characterized as surmountable/noncompetitive (losartan, tasosartan, eprosartan) or insurmountable/noncompetitive (candesartan, [ENTITY_B], zolasartan, irbesartan, valsartan, telmisartan, E3174).",ANTAGONIST,CPR:6,3,"The mode of (functional) AT1 receptor antagonism has been characterized as surmountable/noncompetitive (losartan, tasosartan, eprosartan) or insurmountable/noncompetitive (candesartan, saprisartan, zolasartan, irbesartan, valsartan, telmisartan, E3174)."
<< Quinone oxidoreductases >> are flavoproteins that catalyze two-electron reduction and detoxification of [[ quinones ]].,[ENTITY_A] are flavoproteins that catalyze two-electron reduction and detoxification of [ENTITY_B].,SUBSTRATE,CPR:9,4,Quinone oxidoreductases are flavoproteins that catalyze two-electron reduction and detoxification of quinones.
"A role of cytosolic << NQO1 >> in protection of cells from oxidative stress, cytotoxicity, and mutagenicity of [[ quinones ]] was established.","A role of cytosolic [ENTITY_A] in protection of cells from oxidative stress, cytotoxicity, and mutagenicity of [ENTITY_B] was established.",SUBSTRATE,CPR:9,4,"A role of cytosolic NQO1 in protection of cells from oxidative stress, cytotoxicity, and mutagenicity of quinones was established."
"The << mNQO >> activity showed significantly higher affinity for NADH than NADPH as electron donors and catalyzed reduction of [[ 2,6-dichlorophenolindophenol ]] and menadione.",The [ENTITY_A] activity showed significantly higher affinity for NADH than NADPH as electron donors and catalyzed reduction of [ENTITY_B] and menadione.,SUBSTRATE,CPR:9,4,"The mNQO activity showed significantly higher affinity for NADH than NADPH as electron donors and catalyzed reduction of 2,6-dichlorophenolindophenol and menadione."
"The mNQO activity was insensitive to << dicoumarol >>, a potent inhibitor of cytosolic [[ NQO1 ]].","The mNQO activity was insensitive to [ENTITY_A], a potent inhibitor of cytosolic [ENTITY_B].",INHIBITOR,CPR:4,1,"The mNQO activity was insensitive to dicoumarol, a potent inhibitor of cytosolic NQO1."
The << mu-opioid receptor >>-selective agonist [[ lofentanil ]] potently and competitively displaced [3H]nociceptin at rat brain receptors (IC(50) 62 nM).,The [ENTITY_A]-selective agonist [ENTITY_B] potently and competitively displaced [3H]nociceptin at rat brain receptors (IC(50) 62 nM).,AGONIST,CPR:5,2,The mu-opioid receptor-selective agonist lofentanil potently and competitively displaced [3H]nociceptin at rat brain receptors (IC(50) 62 nM).
<< Lofentanil >> exhibited full agonism for enhancement of [35S]GTPgammaS binding to human recombinant [[ ORL1 ]] receptors (EC(50) 50 nM).,[ENTITY_A] exhibited full agonism for enhancement of [35S]GTPgammaS binding to human recombinant [ENTITY_B] receptors (EC(50) 50 nM).,AGONIST-ACTIVATOR,CPR:5,2,Lofentanil exhibited full agonism for enhancement of [35S]GTPgammaS binding to human recombinant ORL1 receptors (EC(50) 50 nM).
The related piperidines ohmefentanyl and << sufentanil >> and the nonselective opioid receptor agonist etorphine were less potent [[ nociceptin receptor ]] agonists.,The related piperidines ohmefentanyl and [ENTITY_A] and the nonselective opioid receptor agonist etorphine were less potent [ENTITY_B] agonists.,AGONIST,CPR:5,2,The related piperidines ohmefentanyl and sufentanil and the nonselective opioid receptor agonist etorphine were less potent nociceptin receptor agonists.
The kappa(1)+kappa(3)-opioid receptor agonist/mu-opioid receptor antagonist << naloxone benzoylhydrazone >> was a pure antagonist at both rat brain and human [[ ORL1 ]] receptors.,The kappa(1)+kappa(3)-opioid receptor agonist/mu-opioid receptor antagonist [ENTITY_A] was a pure antagonist at both rat brain and human [ENTITY_B] receptors.,ANTAGONIST,CPR:6,3,The kappa(1)+kappa(3)-opioid receptor agonist/mu-opioid receptor antagonist naloxone benzoylhydrazone was a pure antagonist at both rat brain and human ORL1 receptors.
"The nonselective << opioid receptor >> partial agonist [[ buprenorphine ]] and the nonselective opioid receptor antagonist (-)-quadazocine exhibited pure antagonism at rat brain receptors, but displayed partial agonism at human ORL1 receptors.","The nonselective [ENTITY_A] partial agonist [ENTITY_B] and the nonselective opioid receptor antagonist (-)-quadazocine exhibited pure antagonism at rat brain receptors, but displayed partial agonism at human ORL1 receptors.",AGONIST,CPR:5,2,"The nonselective opioid receptor partial agonist buprenorphine and the nonselective opioid receptor antagonist (-)-quadazocine exhibited pure antagonism at rat brain receptors, but displayed partial agonism at human ORL1 receptors."
"The nonselective opioid receptor partial agonist buprenorphine and the nonselective << opioid receptor >> antagonist [[ (-)-quadazocine ]] exhibited pure antagonism at rat brain receptors, but displayed partial agonism at human ORL1 receptors.","The nonselective opioid receptor partial agonist buprenorphine and the nonselective [ENTITY_A] antagonist [ENTITY_B] exhibited pure antagonism at rat brain receptors, but displayed partial agonism at human ORL1 receptors.",ANTAGONIST,CPR:6,3,"The nonselective opioid receptor partial agonist buprenorphine and the nonselective opioid receptor antagonist (-)-quadazocine exhibited pure antagonism at rat brain receptors, but displayed partial agonism at human ORL1 receptors."
"<< Thymidylate synthase >> and thymidine kinase are key enzymes involved in the de novo and salvage pathways for [[ pyrimidine nucleotide ]] synthesis, respectively.","[ENTITY_A] and thymidine kinase are key enzymes involved in the de novo and salvage pathways for [ENTITY_B] synthesis, respectively.",PRODUCT-OF,CPR:9,4,"Thymidylate synthase and thymidine kinase are key enzymes involved in the de novo and salvage pathways for pyrimidine nucleotide synthesis, respectively."
"<< Thymidylate synthase >> is inhibited by [[ 5-fluorodeoxyuridine monophosphate ]], forming an inactive ternary complex with intracellular folate.","[ENTITY_A] is inhibited by [ENTITY_B], forming an inactive ternary complex with intracellular folate.",INHIBITOR,CPR:4,1,"Thymidylate synthase is inhibited by 5-fluorodeoxyuridine monophosphate, forming an inactive ternary complex with intracellular folate."
"Thirty-week administration of << UFT >> with or without leucovorin markedly suppressed both colorectal carcinogenesis and tumor growth, resulted in the increase of [[ thymidylate synthase ]] inhibition and the decrease of thymidine kinase activity in the tumor cells.","Thirty-week administration of [ENTITY_A] with or without leucovorin markedly suppressed both colorectal carcinogenesis and tumor growth, resulted in the increase of [ENTITY_B] inhibition and the decrease of thymidine kinase activity in the tumor cells.",INHIBITOR,CPR:4,1,"Thirty-week administration of UFT with or without leucovorin markedly suppressed both colorectal carcinogenesis and tumor growth, resulted in the increase of thymidylate synthase inhibition and the decrease of thymidine kinase activity in the tumor cells."
"Ornithine decarboxylase (<< ODC >>) catalyses the first step in the synthesis of the polyamines putrescine, [[ spermidine ]] and spermine.","Ornithine decarboxylase ([ENTITY_A]) catalyses the first step in the synthesis of the polyamines putrescine, [ENTITY_B] and spermine.",PRODUCT-OF,CPR:9,4,"Ornithine decarboxylase (ODC) catalyses the first step in the synthesis of the polyamines putrescine, spermidine and spermine."
In << alpha(2A)-adrenoceptor >> transfected cells the rank order of agonist potency was [[ A-54741 ]] (mean pEC(50)=8.96)>dexmedetomidine (8.88)>UK-14304 (8.42)>B-HT 920 (7.05)>noradrenaline (6.92).,In [ENTITY_A] transfected cells the rank order of agonist potency was [ENTITY_B] (mean pEC(50)=8.96)>dexmedetomidine (8.88)>UK-14304 (8.42)>B-HT 920 (7.05)>noradrenaline (6.92).,AGONIST,CPR:5,2,In alpha(2A)-adrenoceptor transfected cells the rank order of agonist potency was A-54741 (mean pEC(50)=8.96)>dexmedetomidine (8.88)>UK-14304 (8.42)>B-HT 920 (7.05)>noradrenaline (6.92).
"<< Glucocorticoid receptors >> were activated by [[ dexamethasone ]] as assessed using a glucocorticoid-responsive reporter plasmid, pTAT3-CAT.","[ENTITY_A] were activated by [ENTITY_B] as assessed using a glucocorticoid-responsive reporter plasmid, pTAT3-CAT.",ACTIVATOR,CPR:3,0,"Glucocorticoid receptors were activated by dexamethasone as assessed using a glucocorticoid-responsive reporter plasmid, pTAT3-CAT."
"The << glucocorticoid receptor >> antagonist [[ RU-486 ]] (mifepristone) significantly counteracted the effect of dexamethasone on glucocorticoid receptor activation, indicating that the dexamethasone effect is specific and is mediated through the glucocorticoid receptor.","The [ENTITY_A] antagonist [ENTITY_B] (mifepristone) significantly counteracted the effect of dexamethasone on glucocorticoid receptor activation, indicating that the dexamethasone effect is specific and is mediated through the glucocorticoid receptor.",ANTAGONIST,CPR:6,3,"The glucocorticoid receptor antagonist RU-486 (mifepristone) significantly counteracted the effect of dexamethasone on glucocorticoid receptor activation, indicating that the dexamethasone effect is specific and is mediated through the glucocorticoid receptor."
RESULTS: << Quetiapine >> was an effective antipsychotic and improved the extrapyramidal symptoms and [[ prolactin ]] level elevation noted at baseline.,RESULTS: [ENTITY_A] was an effective antipsychotic and improved the extrapyramidal symptoms and [ENTITY_B] level elevation noted at baseline.,INDIRECT-UPREGULATOR,CPR:3,0,RESULTS: Quetiapine was an effective antipsychotic and improved the extrapyramidal symptoms and prolactin level elevation noted at baseline.
"In a physiological K(+) gradient, << TWIK-2 >> is half inhibited by 0.1 mm [[ Ba(2+) ]], quinine, and quinidine.","In a physiological K(+) gradient, [ENTITY_A] is half inhibited by 0.1 mm [ENTITY_B], quinine, and quinidine.",INHIBITOR,CPR:4,1,"In a physiological K(+) gradient, TWIK-2 is half inhibited by 0.1 mm Ba(2+), quinine, and quinidine."
